seconds,latitude,longitude,flightId
0,43.659286,-79.620444,flight1
1,43.659286,-79.620444,flight1
2,43.65931215089406,-79.62040690358435,flight1
3,43.659338301776124,-79.62036980713637,flight1
4,43.659364452646194,-79.62033271065609,flight1
5,43.65939060350427,-79.62029561414349,flight1
6,43.659416754350346,-79.62025851759857,flight1
7,43.65944290518444,-79.62022142102134,flight1
8,43.659469056006515,-79.62018432441178,flight1
9,43.65949520681661,-79.62014722776992,flight1
10,43.6595213576147,-79.62011013109574,flight1
11,43.659547508400806,-79.62007303438925,flight1
12,43.659573659174896,-79.62003593765046,flight1
13,43.659599809937006,-79.61999884087933,flight1
14,43.659625960687116,-79.61996174407591,flight1
15,43.659652111425224,-79.61992464724015,flight1
16,43.65967826215134,-79.61988755037208,flight1
17,43.65970441286546,-79.61985045347171,flight1
18,43.659730563567585,-79.61981335653901,flight1
19,43.65975671425772,-79.61977625957401,flight1
20,43.65978286493585,-79.61973916257668,flight1
21,43.65980901560198,-79.61970206554705,flight1
22,43.65983516625612,-79.61966496848508,flight1
23,43.659861316898265,-79.61962787139082,flight1
24,43.65988746752841,-79.61959077426424,flight1
25,43.659913618146554,-79.61955367710534,flight1
26,43.6599397687527,-79.61951657991413,flight1
27,43.65996591934687,-79.6194794826906,flight1
28,43.65999206992902,-79.61944238543477,flight1
29,43.66001822049918,-79.6194052881466,flight1
30,43.66004437105736,-79.61936819082612,flight1
31,43.66007052160352,-79.61933109347333,flight1
32,43.6600966721377,-79.61929399608822,flight1
33,43.66012282265988,-79.6192568986708,flight1
34,43.66014897317005,-79.61921980122106,flight1
35,43.66017512366823,-79.61918270373901,flight1
36,43.660201274154424,-79.61914560622463,flight1
37,43.6602274246286,-79.61910850867795,flight1
38,43.660253575090806,-79.61907141109896,flight1
39,43.660279725541,-79.61903431348763,flight1
40,43.660305875979205,-79.618997215844,flight1
41,43.660332026405406,-79.61896011816806,flight1
42,43.660358176819614,-79.61892302045979,flight1
43,43.66038432722182,-79.61888592271922,flight1
44,43.66041047761204,-79.61884882494631,flight1
45,43.660436627990244,-79.61881172714111,flight1
46,43.66046277835647,-79.61877462930357,flight1
47,43.66048892871069,-79.61873753143374,flight1
48,43.660515079052914,-79.61870043353159,flight1
49,43.66054122938314,-79.61866333559709,flight1
50,43.66056737970136,-79.61862623763031,flight1
51,43.6605935300076,-79.6185891396312,flight1
52,43.66061968030184,-79.61855204159977,flight1
53,43.66064583058408,-79.61851494353604,flight1
54,43.660671980854325,-79.61847784543997,flight1
55,43.66069813111257,-79.6184407473116,flight1
56,43.66072428135881,-79.6184036491509,flight1
57,43.660750431593065,-79.6183665509579,flight1
58,43.66077658181532,-79.61832945273258,flight1
59,43.66080273202559,-79.61829235447495,flight1
60,43.660828882223846,-79.61825525618498,flight1
61,43.6608550324101,-79.61821815786271,flight1
62,43.66088118258436,-79.61818105950812,flight1
63,43.66090733274663,-79.6181439611212,flight1
64,43.66093348289691,-79.61810686270198,flight1
65,43.660959633035176,-79.61806976425044,flight1
66,43.66098578316146,-79.61803266576658,flight1
67,43.66101193327574,-79.6179955672504,flight1
68,43.66103808337802,-79.6179584687019,flight1
69,43.6610642334683,-79.61792137012111,flight1
70,43.661090383546586,-79.61788427150798,flight1
71,43.66111653361287,-79.61784717286253,flight1
72,43.66114268366717,-79.61781007418477,flight1
73,43.66116883370946,-79.6177729754747,flight1
74,43.661194983739755,-79.6177358767323,flight1
75,43.661221133758055,-79.61769877795759,flight1
76,43.661247283764354,-79.61766167915056,flight1
77,43.66127343375866,-79.6176245803112,flight1
78,43.66129958374096,-79.61758748143954,flight1
79,43.66132573371128,-79.61755038253555,flight1
80,43.66135188366959,-79.61751328359925,flight1
81,43.6613780336159,-79.61747618463065,flight1
82,43.66140418355022,-79.6174390856297,flight1
83,43.66143033347253,-79.61740198659645,flight1
84,43.66145648338286,-79.61736488753088,flight1
85,43.661482633281175,-79.61732778843299,flight1
86,43.661508783167505,-79.61729068930278,flight1
87,43.66153493304183,-79.61725359014025,flight1
88,43.66156108290416,-79.61721649094541,flight1
89,43.661587232754485,-79.61717939171825,flight1
90,43.661613382592826,-79.61714229245878,flight1
91,43.66163953241916,-79.61710519316698,flight1
92,43.661665682233505,-79.61706809384287,flight1
93,43.661691832035835,-79.61703099448643,flight1
94,43.661717981826186,-79.61699389509768,flight1
95,43.66174413160452,-79.61695679567661,flight1
96,43.66177028137087,-79.61691969622323,flight1
97,43.66179643112522,-79.61688259673753,flight1
98,43.661822580867565,-79.6168454972195,flight1
99,43.66184873059792,-79.61680839766916,flight1
100,43.661874880316276,-79.61677129808649,flight1
101,43.66190103002263,-79.61673419847152,flight1
102,43.66192717971699,-79.61669709882422,flight1
103,43.66195332939935,-79.6166599991446,flight1
104,43.66197947906971,-79.61662289943267,flight1
105,43.66200562872807,-79.61658579968842,flight1
106,43.66203177837443,-79.61654869991185,flight1
107,43.6620579280088,-79.61651160010295,flight1
108,43.66208407763117,-79.61647450026175,flight1
109,43.66211022724155,-79.61643740038821,flight1
110,43.66213637683991,-79.61640030048238,flight1
111,43.662162526426286,-79.6163632005442,flight1
112,43.66218867600067,-79.61632610057373,flight1
113,43.66221482556304,-79.61628900057092,flight1
114,43.66224097511342,-79.6162519005358,flight1
115,43.662267124651805,-79.61621480046837,flight1
116,43.66229327417818,-79.6161777003686,flight1
117,43.662319423692566,-79.61614060023652,flight1
118,43.66234557319495,-79.61610350007211,flight1
119,43.662371722685336,-79.61606639987541,flight1
120,43.66239787216372,-79.61602929964636,flight1
121,43.66242402163011,-79.615992199385,flight1
122,43.66245017108451,-79.61595509909134,flight1
123,43.6624763205269,-79.61591799876534,flight1
124,43.66250246995729,-79.61588089840703,flight1
125,43.662528619375685,-79.61584379801639,flight1
126,43.66255476878209,-79.61580669759343,flight1
127,43.66258091817648,-79.61576959713815,flight1
128,43.66260706755889,-79.61573249665057,flight1
129,43.66263321692929,-79.61569539613065,flight1
130,43.66265936628769,-79.61565829557841,flight1
131,43.662685515634095,-79.61562119499386,flight1
132,43.6627116649685,-79.615584094377,flight1
133,43.6627378142909,-79.6155469937278,flight1
134,43.66276396360131,-79.6155098930463,flight1
135,43.66279011289971,-79.61547279233245,flight1
136,43.662816262186126,-79.61543569158631,flight1
137,43.66284241146053,-79.61539859080784,flight1
138,43.66286856072294,-79.61536148999704,flight1
139,43.66289470997336,-79.61532438915394,flight1
140,43.66292085921177,-79.61528728827851,flight1
141,43.66294700843819,-79.61525018737076,flight1
142,43.6629731576526,-79.61521308643069,flight1
143,43.66299930685503,-79.6151759854583,flight1
144,43.66302545604544,-79.61513888445357,flight1
145,43.66305160522386,-79.61510178341655,flight1
146,43.66307775439027,-79.6150646823472,flight1
147,43.6631039035447,-79.61502758124551,flight1
148,43.66313005268712,-79.61499048011152,flight1
149,43.66315620181754,-79.6149533789452,flight1
150,43.66318235093597,-79.61491627774657,flight1
151,43.663208500042394,-79.61487917651561,flight1
152,43.663234649136825,-79.61484207525234,flight1
153,43.66326079821924,-79.61480497395674,flight1
154,43.66328694728967,-79.61476787262882,flight1
155,43.66331309634809,-79.61473077126858,flight1
156,43.66333924539453,-79.61469366987603,flight1
157,43.66336539442896,-79.61465656845115,flight1
158,43.66339154345138,-79.61461946699396,flight1
159,43.66341769246181,-79.61458236550442,flight1
160,43.66344384146024,-79.61454526398258,flight1
161,43.66346999044668,-79.61450816242842,flight1
162,43.66349613942111,-79.61447106084194,flight1
163,43.66352228838354,-79.61443395922312,flight1
164,43.66354843733397,-79.61439685757199,flight1
165,43.66357458627241,-79.61435975588854,flight1
166,43.66360073519884,-79.61432265417278,flight1
167,43.663626884113285,-79.61428555242469,flight1
168,43.66365303301571,-79.61424845064428,flight1
169,43.663679181906154,-79.61421134883155,flight1
170,43.66370533078458,-79.61417424698648,flight1
171,43.66373147965102,-79.61413714510911,flight1
172,43.66375762850546,-79.61410004319941,flight1
173,43.66378377734789,-79.6140629412574,flight1
174,43.66380992617833,-79.61402583928304,flight1
175,43.66383607499677,-79.6139887372764,flight1
176,43.66386222380321,-79.6139516352374,flight1
177,43.663888372597654,-79.61391453316611,flight1
178,43.66391452138009,-79.61387743106246,flight1
179,43.66394067015053,-79.61384032892651,flight1
180,43.663966818908975,-79.61380322675825,flight1
